,country,weapon,date,text
620,Greece , Cooperative Logistics Supply Support Agreement Foreign Military Sale Order II Support," March 29, 2011 ","['WASHINGTON, March 29, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale Order to the Government of Greece to…']"
621,Canada , 36 MK-48 Mod 7 Advanced Technology (AT) Torpedo Conversion Kits," March 23, 2011 ","['WASHINGTON, March 23, 2011 – The Defense Security Cooperation Agency notified Congress March 17 of a possible Foreign Military Sale to the Government of Canada of 36…']"
622,Australia , C-17 GLOBEMASTER III Aircraft," March 9, 2011 ","['WASHINGTON, March 9, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Australia of a C-17 GLOBEMASTER III…']"
623,Australia , Sustainment for MH-60R Multi-Mission Helicopters," Feb. 2, 2011 ","['WASHINGTON, Feb. 2, 2011 – The Defense Security Cooperation Agency notified Congress Feb. 1 of a possible Foreign Military Sale to Australia of a 10-year Through-Life…']"
624,India , Support for Direct Commercial Sale of AH-64D Block III APACHE Helicopters," December 27, 2010 ","['WASHINGTON, December 27, 2010 – The Defense Security Cooperation Agency notified Congress on December 22 of a possible Foreign Military Sale to the Government of…']"
625,India , AGM-84L HARPOON Block II Missiles," December 21, 2010 ","['WASHINGTON, December 21, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of India of 21…']"
626,Switzerland , AIM-120C-7 Advanced Medium Range Air-to-Air Missiles (AMRAAM)," December 21, 2010 ","['WASHINGTON, December 21, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Switzerland…']"
627,Denmark , MH-60R Multi-Mission Helicopters," November 30, 2010 ","['WASHINGTON, November 30, 2010 – The Defense Security Cooperation Agency notified Congress November 29 of a possible Foreign Military Sale to Denmark of 12 MH-60R…']"
628,Iraq , M1A1 Abrams Tank Ammunition," November 30, 2010 ","['WASHINGTON, November 30, 2010 – The Defense Security Cooperation Agency notified Congress November 29 of a possible Foreign Military Sale to Iraq of M1A1 Abrams Tank…']"
629,Iraq ," Command, Control, Communications, Computers, Intelligence, Surveillance and Reconnaissance (C4ISR) Systems"," November 30, 2010 ","['WASHINGTON, November 30, 2010 – The Defense Security Cooperation Agency notified Congress November 29 of a possible Foreign Military Sale to Iraq of Command, Control…']"
630,Japan , Mission Equipment for AWACS Aircraft," November 30, 2010 ","['WASHINGTON, November 30, 2010 – The Defense Security Cooperation Agency notified Congress November 29 of a possible Foreign Military Sale to the Government of Japan…']"
631,Oman , Logistics Support and Training for one C-130J-30," November 18, 2010 ","['WASHINGTON, November 18, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Oman of…']"
632,Kingdom of Saudi Arabia , JAVELIN Missiles," November 18, 2010 ","['WASHINGTON, November 18, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Saudi Arabia…']"
633,United Arab Emirates , AH-64D Block III APACHE Helicopters," November 4, 2010 ","['WASHINGTON, November 4, 2010 – The Defense Security Cooperation Agency notified Congress November 3 of a possible Foreign Military Sale to the United Arab Emirates of…']"
634,Bahrain , Army Tactical Missile Systems T2K Unitary," November 4, 2010 ","['WASHINGTON, November 4, 2010 – The Defense Security Cooperation Agency notified Congress November 3 of a possible Foreign Military Sale to Bahrain of 30 Army Tactical…']"
635,United Arab Emirates , Army Tactical Missile Systems (ATACMS) T2K Unitary Missiles/Low Cost Reduced-Range Practice Rockets," November 4, 2010 ","['WASHINGTON, November 4, 2010 – The Defense Security Cooperation Agency notified Congress November 3 of a possible Foreign Military Sale to the Government of the…']"
636,Japan , SM-2 Block IIIB STANDARD Missiles," October 26, 2010 ","['WASHINGTON, October 26, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Japan of 13 SM…']"
637,Australia , SM-2 Block IIIB STANDARD Missiles," October 26, 2010 ","['WASHINGTON, October 26, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Australia of…']"
638,Saudi Arabia ," AH-64D APACHE, UH-60M BLACKHAWK, AH-6i Light Attack, and MD-530F Light Turbine Helicopters"," October 20, 2010 ","['WASHINGTON, October 20, 2010 -\xa0The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Saudi…']"
639,Saudi Arabia , AH-64D APACHE Longbow Helicopters," October 20, 2010 ","['WASHINGTON, October 20, 2010 -\xa0The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Saudi…']"
640,Saudi Arabia ," AH-64D Longbow Helicopters, Engines and Night Vision Sensors"," October 20, 2010 ","['WASHINGTON, October 20, 2010 -\xa0The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Saudi…']"
641,Saudi Arabia , F-15SA Aircraft," October 20, 2010 ","['WASHINGTON, October 20, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Saudi Arabia…']"
642,Singapore , F-16 Pilot Training," October 4, 2010 ","['WASHINGTON, October 4, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Singapore of…']"
643,Australia , MK 54 Lightweight Torpedoes," October 4, 2010 ","['WASHINGTON, October 4, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Australia of up…']"
644,Finland , M270 Multiple Launch Rocket System Upgrade," September 30, 2010 ","['WASHINGTON, September 30, 2010 – The Defense Security Cooperation Agency notified Congress Sept. 29 of a possible Foreign Military Sale to Finland for the upgrade of…']"
645,Thailand , F-16 Mid-Life Upgrade," September 30, 2010 ","['WASHINGTON, September 30, 2010 – The Defense Security Cooperation Agency notified Congress Sept. 29 of a possible Foreign Military Sale to Thailand of a three-phased…']"
646,Sweden, UH-60M BLACKHAWK Helicopters," September 30, 2010 ","['WASHINGTON, September 30, 2010 – The Defense Security Cooperation Agency notified Congress Sept. 29 of a possible Foreign Military Sale to Sweden of 15 UH-60M…']"
647,Kuwait C,17 GLOBEMASTER III Aircraft and Related Support," September 24, 2010 ","['WASHINGTON, September 24, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Kuwait of one Boeing C-17…']"
648,Iraq , Contractor Technical Support for the Mobile Communications Centers," September 24, 2010 ","['WASHINGTON, September 24, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Iraq of contractor logistics…']"
649,Iraq , Contractor Technical Support for Iraqi Defense Network," September 24, 2010 ","['WASHINGTON, September 24, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Iraq of contractor technical…']"
650,Iraq , F-16 Aircraft," September 15, 2010 ","['WASHINGTON, September 15, 2010 -- The Defense Security Cooperation Agency notified Congress on September 13 of a possible Foreign Military Sale to Iraq of 18 F-16IQ…']"
651,Canada , AN/AAQ-24(V) Directional Infrared Countermeasure Systems," September 15, 2010 ","['WASHINGTON, September 15, 2010 -- The Defense Security Cooperation Agency notified Congress on September 13, of a possible Foreign Military Sale to Canada of 8 AN/AAQ…']"
652,Pakistan , BELL 412EP Helicopters," September 15, 2010 ","['WASHINGTON, September 15, 2010 -- The Defense Security Cooperation Agency notified Congress on 14 September of a possible Foreign Military Sale to Pakistan of BELL…']"
653,Iraq ,Refurbishment of M113A2 Armored Personnel Carriers," September 15, 2010 ","['WASHINGTON, September 15, 2010 -- The Defense Security Cooperation Agency notified Congress on September 14, of a possible Foreign Military Sale to Iraq for the…']"
654,Kingdom of Saudi Arabia , Blanket Order Training Program," September 15, 2010 ","['WASHINGTON, September 15, 2010 -- The Defense Security Cooperation Agency notified Congress on September 13 of a possible Foreign Military Sale to the Kingdom of…']"
655,Kuwait , MIM-104E PATRIOT Guidance Enhanced Missile-T (GEM-T)," Aug. 11, 2010 ","['WASHINGTON, Aug. 11, 2010 – The Defense Security Cooperation Agency notified Congress Aug. 10 of a possible Foreign Military Sale to Kuwait of 209 MIM-104E PATRIOT…']"
656,Iraq , Technical Support Services," August 5, 2010 ","['WASHINGTON, August 5, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Iraq of contractor logistics…']"
657,Colombia , UH-60L BLACK HAWK Helicopters," August 5, 2010 ","['WASHINGTON, August 5, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Colombia of 9 UH-60L Black Hawk…']"
658,Israel ," Unleaded Gasoline, JP-8 Aviation Jet Fuel, and Diesel Fuel"," August 5, 2010 ","['WASHINGTON, August 5, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Israel of unleaded gasoline, JP-8…']"
659,Oman , F-16 Aircraft," August 3, 2010 ","['WASHINGTON, August 3, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Oman of 18 F-16 Block 50/52…']"
660,Netherlands , MK-48 Torpedo Conversion Kits," July 29, 2010 ","['WASHINGTON, July 29, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to The Netherlands of 40 MK- 48 Mod 7…']"
661,The Netherlands , GBU-39 Small Diameter Bombs," July 27, 2010 ","['WASHINGTON, July 27, 2010 – The Defense Security Cooperation Agency notified Congress July 26 of a possible Foreign Military Sale to The Netherlands of 603 GBU-39/B…']"
662,Canada , AN/TPQ-36 (EQ-36) FIREFINDER Radars or AN/MPQ-64F1 SENTINEL Radars," July 15, 2010 ","['WASHINGTON, July 15, 2010 – The Defense Security Cooperation Agency notified Congress July 15 of a possible Foreign Military Sale to the Government of Canada of 10…']"
663,Chile , Forward Area Air Defense Engagement and Force Operations Systems," July 13, 2010 ","['WASHINGTON, July 13, 2010 – The Defense Security Cooperation Agency notified Congress July 13 of a possible Foreign Military Sale to the Government of Chile of three…']"
664,Australia , MH-60R Multi-Mission Helicopters," July 9, 2010 ","['WASHINGTON, July 9, 2010 – The Defense Security Cooperation Agency notified Congress July 7 of a possible Foreign Military Sale to Australia of 24 MH-60R SEAHAWK…']"
665,United Kingdom , Globemaster III Sustainment Partnership," July 2, 2010 ","['WASHINGTON, July 2, 2010 – The Defense Security Cooperation Agency notified Congress July 1 of a possible Foreign Military Sale to the United Kingdom for continued…']"
666,Tunisia , Refurbishment of Twelve SH-60F Multi-Mission Helicopters," July 2, 2010 ","['WASHINGTON, July 2, 2010 – The Defense Security Cooperation Agency notified Congress June 30 of a possible Foreign Military Sale to Tunisia for the refurbishment of…']"
667,Oman , Logistics support and training for two C-130J-30s," July 2, 2010 ","['WASHINGTON, July 2, 2010 – The Defense Security Cooperation Agency notified Congress June 30 of a possible Foreign Military Sale to Oman of logistics support and…']"
668,Egypt , Follow-On Technical Support," July 2, 2010 ","['WASHINGTON, July 2, 2010 – The Defense Security Cooperation Agency notified Congress July 1 of a possible Foreign Military Sale to Egypt for the continuation of…']"
669,Egypt , Skyguard AMOUN Solid-State Transmitters," July 2, 2010 ","['WASHINGTON, July 2, 2010 – The Defense Security Cooperation Agency notified Congress July 1 of a possible Foreign Military Sale to Egypt for 40 Skyguard AMOUN Solid-…']"
670,United Kingdom , Globemaster III Sustainment Partnership," July 2, 2010 ","['WASHINGTON, July 2, 2010 – The Defense Security Cooperation Agency notified Congress July 1 of a possible Foreign Military Sale to the United Kingdom for continued…']"
671,United Arab Emirates , Logistics Support for C-17 Globemaster Aircraft," May 26, 2010 ","['WASHINGTON, May 26, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the United Arab Emirates (UAE) of…']"
672,United Kingdom , Mastiff/Mine Resistant Ambush Protected (MRAP) Vehicles," May 20, 2010 ","['WASHINGTON, May 20, 2010 – The Defense Security Cooperation Agency notified Congress May 19 of a possible Foreign Military Sale to the United Kingdom of 102 Mastiff/…']"
673,Australia , RQ-7B SHADOW 200 Unmanned Aircraft Systems," May 6, 2010 ","['WASHINGTON, May 6, 2010 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Australia of two RQ-7B SHADOW 200…']"
674,India , C-17 GLOBEMASTER III Aircraft," April 26, 2010 ","['WASHINGTON, April 26, 2010 – The Defense Security Cooperation Agency notified Congress on April 23 of a possible Foreign Military Sale to India of 10 Boeing C-17…']"
675,Canada , T55-GA-714A Engines," April 9, 2010 ","['WASHINGTON, April 9, 2010 – The Defense Security Cooperation Agency notified Congress on April 8 of a possible Foreign Military Sale to Canada of 36 T55-GA-714A…']"
676,France , JAVELIN Anti-Tank Guided Missiles," April 5, 2010 ","['WASHINGTON, April 5, 2010 – The Defense Security Cooperation Agency notified Congress on April 2 of a possible Foreign Military Sale to France of 260 JAVELIN Anti-…']"
677,Iraq , Various Radios and Communication Equipment," March 5, 2010 ","['WASHINGTON, March 5, 2010 – The Defense Security Cooperation Agency notified Congress March 4 of a possible Foreign Military Sale to Iraq of various communication…']"
678,Pakistan , Refurbishment of Oliver Hazard Perry Class Frigate," Feb. 19, 2010 ","['WASHINGTON, Feb. 19, 2010 – The Defense Security Cooperation Agency notified Congress Feb. 18 of a possible Foreign Military Sale to Pakistan for refurbishment of one…']"
679,Pakistan , Technical Support Team," February 1, 2010 ","['WASHINGTON, February 1, 2010 – On January 29, 2010, the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the…']"
680,Taipei Economic and Cultural Representative Office in the United States , Two OSPREY Class Mine Hunting Ships Including Refurbishment and Upgrade," January 29, 2010 ","['WASHINGTON, January 29, 2010 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Taipei Economic and…']"
681,Taipei Economic and Cultural Representative Office in the United States ," PATRIOT Advanced Capability-3 (PAC-3) Firing Units, Training Unit, and Missiles"," January 29, 2010 ","['WASHINGTON, January 29, 2010 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Taipei Economic and…']"
682,Taipei Economic and Cultural Representative Office in the United States , UH-60M BLACK HAWK Helicopters," January 29, 2010 ","['WASHINGTON, January 29, 2010 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Taipei Economic and…']"
683,Taipei Economic and Cultural Representative Office in the United States , RTM-84L and ATM-84L HARPOON Block II Telemetry Missiles," January 29, 2010 ","['WASHINGTON, January 29, 2010 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Taipei Economic and…']"
684,Taipei Economic and Cultural Representative Office in the United States , Multifunctional Information Distribution Systems (MIDS)," January 29, 2010 ","['WASHINGTON, January 29, 2010 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Taipei Economic and…']"
685,India , M777 155mm Light-Weight Towed Howitzers," Jan. 26, 2010 ","['WASHINGTON, Jan. 26, 2010 – The Defense Security Cooperation Agency notified Congress Jan. 22 of a possible Foreign Military Sale to India of 145 M777 155mm Light-…']"
686,United Arab Emirates , Logistics Support and Training for 12 C-130J-30 Aircraft," Dec. 28, 2009 ","['WASHINGTON, Dec. 28, 2009 – The Defense Security Cooperation Agency notified Congress Dec. 22 of a possible Foreign Military Sale to the United Arab Emirates of…']"
687,United Arab Emirates , Enhanced Guided Bomb Units," Dec. 28, 2009 ","['WASHINGTON, Dec. 28, 2009 – The Defense Security Cooperation Agency notified Congress Dec. 22 of a possible Foreign Military Sale to the United Arab Emirates of…']"
688,Kuwait , Facilities and Infrastructure Construction Support Services," Dec. 18, 2009 ","['WASHINGTON, Dec. 18, 2009 – The Defense Security Cooperation Agency notified Congress Dec. 17 of a possible Foreign Military Sale to Kuwait of construction support…']"
689,Egypt , Harpoon Block II Anti-Ship Cruise Missiles," Dec. 18, 2009 ","['WASHINGTON, Dec. 18, 2009 – The Defense Security Cooperation Agency notified Congress Dec. 17 of a possible Foreign Military Sale to Egypt of 20 RGM-84L/3 HARPOON…']"
690,Egypt , Service Life Extension Program for F-110-GE-100 Engines," Dec. 18, 2009 ","['WASHINGTON, Dec. 18, 2009 – The Defense Security Cooperation Agency notified Congress Dec. 17 of a possible Foreign Military Sale to Egypt of modification and…']"
691,Egypt , Fast Missile Craft," Dec. 18, 2009 ","['WASHINGTON, Dec. 18, 2009 – The Defense Security Cooperation Agency notified Congress Dec. 17 of a possible Foreign Military Sale to Egypt of the Fast Missile Craft (…']"
692,United Arab Emirates , Logistics Support for C-17 Globemaster Aircraft," Dec. 18, 2009 ","['WASHINGTON, Dec. 18, 2009 – The Defense Security Cooperation Agency notified Congress Dec. 17 of a possible Foreign Military Sale to United Arab Emirates of logistics…']"
693,Egypt , HELLFIRE II Air-to-Surface Anti-Armor Missiles," Dec. 14, 2009 ","['WASHINGTON, Dec. 14, 2009 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Egypt of 450 AGM-114K3A HELLFIRE II…']"
694,Saudi Arabia , SANG Modernization Program," Dec. 17, 2009 ","['WASHINGTON, Dec. 17, 2009 – The Defense Security Cooperation Agency notified Congress Dec. 16 of a possible Foreign Military Sale to Saudi Arabia of 2,742 BGM-71E-4B-…']"
695,Turkey , CH-47F CHINOOK Helicopters," December 8, 2009 ","['WASHINGTON, December 8, 2009 – The Defense Security Cooperation Agency notified Congress December 7 of a possible Foreign Military Sale to Turkey of 14 CH-47F CHINOOK…']"
696,Jordan , Material Management Program for F100-PW-220E Engines," December 8, 2009 ","['WASHINGTON, December 8, 2009 – The Defense Security Cooperation Agency notified Congress December 7 of a possible Foreign Military Sale to the Hashemite Kingdom of…']"
697,United Arab Emirates , CH-47F CHINOOK Helicopters," December 3, 2009 ","['WASHINGTON, December 3, 2009 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the United Arab Emirates of 16…']"
698,Jordan , JAVELIN Guided Missile Systems," November 30, 2009 ","['WASHINGTON, November 30, 2009 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Jordan of JAVELIN Anti-Tank…']"
699,Peru , Refurbishment of Two NEWPORT Class Landing Ship Tanks," November 23, 2009 ","['WASHINGTON, November 23, 2009 – The Defense Security Cooperation Agency notified Congress Nov. 20 of a possible Foreign Military Sale to Peru for the refurbishment of…']"
700,Kuwait , Technical Assistance for Construction of Facilities and Infrastructure," November 23, 2009 ","['WASHINGTON, November 23, 2009 – The Defense Security Cooperation Agency notified Congress Nov. 20 of a possible Foreign Military Sale to Kuwait for the design and…']"
701,Kuwait , PATRIOT Sustainment and Repair/Return Program," November 16, 2009 ","['WASHINGTON, November 16, 2009 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the government of Kuwait of…']"
702,Singapore , Laser Joint Direct Attack Munitions," November 16, 2009 ","['WASHINGTON, November 16, 2009 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Singapore of a variety of Joint…']"
703,Italy , MQ-9 Unmanned Aerial Vehicles," November 19, 2009 ","['WASHINGTON, November 19, 2009 – The Defense Security Cooperation Agency notified Congress Nov. 18 of a possible Foreign Military Sale to Italy of two unarmed MQ-9…']"
704,Iraq , Light and Medium Utility Helicopters," November 19, 2009 ","['WASHINGTON, November 19, 2009 – The Defense Security Cooperation Agency notified Congress Nov. 18 of a possible Foreign Military Sale to Iraq of 15 helicopters with…']"
705,Chile , AN/MPQ-64F1 SENTINEL Radar Systems," November 12, 2009 ","['WASHINGTON, November 12, 2009 – The Defense Security Cooperation Agency notified Congress Nov. 10 of a possible Foreign Military Sale to Chile of 6 AN/MPQ-64F1…']"
706,Chile , AIM-120C-7 AMRAAM Missiles," November 12, 2009 ","['WASHINGTON, November 12, 2009 – The Defense Security Cooperation Agency notified Congress Nov. 10 of a possible Foreign Military Sale to Chile of 100 AIM-120C-7…']"
707,Chile , AVENGER Fire Units/STINGER Missiles," November 12, 2009 ","['WASHINGTON, November 12, 2009 – The Defense Security Cooperation Agency notified Congress Nov. 10 of a possible Foreign Military Sale to Chile of 36 AVENGER Fire…']"
708,Morocco , CH-47D CHINOOK Helicopters," October 26, 2009 ","['WASHINGTON, October 26, 2009 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Morocco of three CH-47D CHINOOK…']"
709,Egypt ,F-16C/D Block 50/52 Aircraft," October 9, 2009 ","['WASHINGTON, October 9, 2009 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to Egypt of 24 F-16C/D Block 50/52…']"
710,TURKEY , PATRIOT Advanced Capability-3 Guided Missiles," September 9, 2009 ","['WASHINGTON, September 9, 2009 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of Turkey…']"
711,Singapore , F-16 Pilot Proficiency-Training Program," September 9, 2009 ","['WASHINGTON, September 9, 2009 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of…']"
712,Singapore , F-16 Pilot Training and Logistics Support," September 9, 2009 ","['WASHINGTON, September 9, 2009 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of…']"
713,Morocco ," F-16C/D Block 50/52 Aircraft Support Equipment, Weapons"," September 9, 2009 ","['WASHINGTON, September 9, 2009 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of…']"
714,Jordan ," HIMARS, GMLRS, AFATDS, SINCGARS"," September 9, 2009 ","['WASHINGTON, September 9, 2009 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Hashemite Kingdom of…']"
715,The Government of Ghana , C-27J Aircraft and Related Support," September 9, 2009 ","['WASHINGTON, September 9, 2009 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of Ghana…']"
716,The Netherlands ,­ Upgrade AH-64D APACHE Block I Helicopters to Block II ," Aug. 6, 2009 ­ Today the Defense Security Cooperation Agency notified Congress of a possible foreign military sale to the Government of The Netherlands of…","['WASHINGTON, Aug. 6, 2009 \xad Today the Defense Security Cooperation Agency notified Congress of a possible foreign military sale to the Government of The Netherlands of…']"
717,Egypt , CH-47D CHINOOK Helicopters," August 6, 2009 ","['WASHINGTON, August 6, 2009 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of Egypt of…']"
718,Saudi Arabia , Communication and Navigation Surveillance/Air Traffic Management (CNS/ATM) Upgrades ," Aug. 6, 2009 ­ Today the Defense Security Cooperation Agency notified Congress of a
possible foreign military sale to the Government of Saudi Arabia of…","['WASHINGTON, Aug. 6, 2009 \xad Today the Defense Security Cooperation Agency notified Congress of a\npossible foreign military sale to the Government of Saudi Arabia of…']"
719,Thailand , UH-60L Black Hawk Helicopters ," Aug. 6, 2009 ­ Today the Defense Security Cooperation Agency notified Congress of a
possible foreign military sale to the Government of…","['<p>WASHINGTON, Aug. 6, 2009 \xad Today the Defense Security Cooperation Agency notified Congress of a\npossible foreign military sale to the Government of…']"
720,Thailand , UH-60L Black Hawk Helicopters ," Aug. 6, 2009 ­ Today the Defense Security Cooperation Agency notified Congress of a
possible foreign military sale to the Government of…","['<p>WASHINGTON, Aug. 6, 2009 \xad Today the Defense Security Cooperation Agency notified Congress of a\npossible foreign military sale to the Government of…']"
721,The Netherlands ,­ F-16 Pilot Training and Logistics Support ," Aug. 6, 2009 ­ Today the Defense Security Cooperation Agency notified Congress of a
possible foreign military sale to the Government of The…","['<p>WASHINGTON, Aug. 6, 2009 \xad Today the Defense Security Cooperation Agency notified Congress of a\npossible foreign military sale to the Government of The…']"
722,Brazil , F/A-18E/F Super Hornet Aircraft," August 6, 2009 ","['WASHINGTON, August 6, 2009 – Today the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of Brazil of…']"
723,Saudi Arabia , Upgrade of Tactical Airborne Surveillance System (TASS) ," Aug. 5, 2009 ­ Today the Defense Security Cooperation Agency notified Congress of a possible foreign military sale to the Government of Saudi Arabia of…","['WASHINGTON, Aug. 5, 2009 \xad Today the Defense Security Cooperation Agency notified Congress of a possible foreign military sale to the Government of Saudi Arabia of…']"
724,UAE ," HELLFIRE Missiles, Aircraft Survivability Equipment "," August 4, 2009 ­ The Defense Security Cooperation Agency (DSCA) notified
Congress today of a possible Foreign Military Sale to the Government of the…","['WASHINGTON, August 4, 2009 \xad The Defense Security Cooperation Agency (DSCA) notified\nCongress today of a possible Foreign Military Sale to the Government of the…']"
725,Jordan ,­ AIM-120C-7 AMRAAM Missiles ," Aug. 3, 2009 ­ Today the Defense Security Cooperation Agency notified Congress of a
possible foreign military sale to the Government of Jordan of 85 AIM","['WASHINGTON, Aug. 3, 2009 \xad Today the Defense Security Cooperation Agency notified Congress of a\npossible foreign military sale to the Government of Jordan of 85 AIM-…']"
726,Bahrain ,­ AIM-120C-7 AMRAAM Missiles ," 2009 ­ On July 27, the Defense Security Cooperation Agency notified
Congress of a possible foreign military sale to the Government of Bahrain of…","['WASHINGTON, July 28, 2009 \xad On July 27, the Defense Security Cooperation Agency notified\nCongress of a possible foreign military sale to the Government of Bahrain of…']"
727,Australia , USAF C-17 Globemaster Sustainment Partnership," 2009 ­ On July 17, the Defense Security Cooperation Agency (DSCA) notified
Congress of the Government of Australia's request to continue…","[""WASHINGTON, July 22, 2009 \xad On July 17, the Defense Security Cooperation Agency (DSCA) notified\nCongress of the Government of Australia's request to continue…""]"
728,Korea ,­ MH-60S Multi-Mission Helicopters," 2009 ­ On July 17, the Defense Security Cooperation Agency (DSCA)
notified Congress of a possible Foreign Military Sale to the Government Korea…","['WASHINGTON, July 22, 2009 \xad On July 17, the Defense Security Cooperation Agency (DSCA)\nnotified Congress of a possible Foreign Military Sale to the Government Korea…']"
729,Kuwait ,­ KC-130J Multi-mission Aircraft ," 2009 ­ On July 15, the Defense Security Cooperation Agency notified
Congress of a possible foreign military sale to the Government of Kuwait of…","['WASHINGTON, July 20, 2009 \xad On July 15, the Defense Security Cooperation Agency notified\nCongress of a possible foreign military sale to the Government of Kuwait of…']"
730,Kuwait , Technical/Logistics Support for F/A-18 Aircraft ," 2009 ­ On July 13, the Defense Security Cooperation Agency (DSCA)
notified Congress of a possible Foreign Military Sale to the Government Kuwait…","['WASHINGTON, July 14, 2009 \xad On July 13, the Defense Security Cooperation Agency (DSCA)\nnotified Congress of a possible Foreign Military Sale to the Government Kuwait…']"
731,Kuwait , Nautilus Class Diver Support Vessels ," 2009 ­ On July 13, the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of…","['WASHINGTON, July 14, 2009 \xad On July 13, the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of…']"
732,Kuwait ,­ Upgrade Desert Warrior Fire Control System with GITS II ," 2009 ­ On July 8, the Defense Security Cooperation Agency notified Congress of a possible foreign military sale to the Government of Kuwait to…","['WASHINGTON, July 10, 2009 \xad On July 8, the Defense Security Cooperation Agency notified Congress of a possible foreign military sale to the Government of Kuwait to…']"
733,Kuwait , Technical/Logistics Support for F/A-18 Aircraft ," 2009 ­ On July 6, the Defense Security Cooperation Agency notified Congress
of a possible foreign military sale to the Government of Kuwait of…","['WASHINGTON, July 7, 2009 \xad On July 6, the Defense Security Cooperation Agency notified Congress\nof a possible foreign military sale to the Government of Kuwait of…']"
734,Chile ," Radars, Howitzers, Vehicles, Ammunition, and Related Support"," 2009 ­ On June 12, the Defense Security Cooperation Agency notified Congress of a possible foreign military sale to the Government of Chile of…","['WASHINGTON, June 15, 2009 \xad On June 12, the Defense Security Cooperation Agency notified Congress of a possible foreign military sale to the Government of Chile of…']"
735,Egypt , AH-64D APACHE Longbow Helicopters," May 26, 2009 ","['WASHINGTON, May 26, 2009 – On May 22, the Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to the Government of Egypt of 12…']"
